query_size,noise,arch,accuracy,fidelity
1000,0.0,mlp_256,0.91,0.91
1000,0.0,mlp_128,0.785,0.785
1000,0.1,mlp_256,0.795,0.885
1000,0.1,mlp_128,0.695,0.75
1000,0.2,mlp_256,0.67,0.81
1000,0.2,mlp_128,0.605,0.735
2000,0.0,mlp_256,0.995,0.995
2000,0.0,mlp_128,1.0,0.9975
2000,0.1,mlp_256,0.915,0.9975
2000,0.1,mlp_128,0.89,0.98
2000,0.2,mlp_256,0.7875,0.9775
2000,0.2,mlp_128,0.7525,0.93
3000,0.0,mlp_256,0.9983221476510067,0.9983221476510067
3000,0.0,mlp_128,0.9966442953020134,0.9966442953020134
3000,0.1,mlp_256,0.8993288590604027,0.9966442953020134
3000,0.1,mlp_128,0.8976510067114094,0.9966442953020134
3000,0.2,mlp_256,0.7869127516778524,0.9932885906040269
3000,0.2,mlp_128,0.8003355704697986,0.9949664429530202
